
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.100000000000E+01  0.16917785E+01
      0.314821361275E-20 -0.20875037E+01
      0.132526444425E-20 -0.10391972E+01
      0.300196269754E-16 -0.30954549E+01
      0.300113409154E-16  0.46137123E-01
      0.864076675298E-21 -0.88243955E+00

 Real time propagation step:               61
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.884460518795E-24 -0.26575932E+00
      0.100000000000E+01  0.20341323E+01
      0.181961682918E-20 -0.16585257E+01
      0.233432151889E-20 -0.53648228E+00
      0.161212662956E-16 -0.14775760E+01
      0.161168025423E-16  0.16640172E+01
      0.130326860174E-20 -0.54266773E+00

 Real time propagation step:               62
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.524012332745E-24  0.15496257E+00
      0.100000000000E+01  0.23764866E+01
      0.105872162392E-20 -0.10520424E+01
      0.383326064667E-20 -0.16711942E+00
      0.533270109663E-16 -0.73593040E+00
      0.533123221575E-16  0.24056628E+01
      0.181189978546E-20 -0.25357573E+00

 Real time propagation step:               63
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.248760911706E-24  0.51221215E+00
      0.100000000000E+01  0.27188420E+01
      0.931101471708E-21 -0.26309607E+00
      0.567500027591E-20  0.13531249E+00
      0.614500031832E-16 -0.39217157E+00
      0.614330971666E-16  0.27494216E+01
      0.233878903210E-20  0.63190935E-02

 Real time propagation step:               64
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.817010118501E-25  0.65096694E+00
      0.100000000000E+01  0.30611985E+01
      0.145028803981E-20  0.43085140E+00
      0.767801494682E-20  0.40264654E+00
      0.233856467762E-16  0.93762295E-01
      0.233792284347E-16 -0.30478296E+01
      0.282959030222E-20  0.24844120E+00

 Real time propagation step:               65
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.401100266699E-25  0.83466933E-01
      0.100000000000E+01 -0.28796294E+01
      0.257550575887E-20  0.91728504E+00
