#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.22862008E+001     0.62210688E+002    -0.40799807E+001     0.58989982E+000
     0.22937962E+001     0.62417368E+002    -0.36111757E+001     0.25635762E+000
     0.23013915E+001     0.62624048E+002    -0.33262653E+001     0.16215722E+000
     0.23089869E+001     0.62830728E+002    -0.31101404E+001     0.14285193E+000
     0.23165822E+001     0.63037408E+002    -0.28974097E+001     0.21864434E+000
     0.23241776E+001     0.63244088E+002    -0.29974576E+001     0.60281916E+000
     0.23317729E+001     0.63450768E+002    -0.32143351E+001     0.21686560E+000
     0.23393683E+001     0.63657448E+002    -0.30493169E+001     0.92421326E-001
     0.23469636E+001     0.63864128E+002    -0.29358221E+001     0.59497204E-001
     0.23545590E+001     0.64070808E+002    -0.28499017E+001     0.45874328E-001
     0.23621543E+001     0.64277488E+002    -0.27780974E+001     0.38833065E-001
     0.23697497E+001     0.64484168E+002    -0.27141400E+001     0.34988602E-001
     0.23773450E+001     0.64690848E+002    -0.26543551E+001     0.33303078E-001
     0.23849404E+001     0.64897528E+002    -0.25957629E+001     0.33718299E-001
     0.23925357E+001     0.65104208E+002    -0.25348342E+001     0.37206773E-001
     0.24001311E+001     0.65310888E+002    -0.24657463E+001     0.47088683E-001
     0.24077264E+001     0.65517568E+002    -0.23758079E+001     0.75423467E-001
     0.24153218E+001     0.65724248E+002    -0.22383271E+001     0.18640363E+000
     0.24229171E+001     0.65930929E+002    -0.23913626E+001     0.67174106E+000
     0.24305125E+001     0.66137609E+002    -0.27875566E+001     0.23790090E+000
     0.24381078E+001     0.66344289E+002    -0.26414161E+001     0.78693017E-001
     0.24457032E+001     0.66550969E+002    -0.25508194E+001     0.41006603E-001
     0.24532986E+001     0.66757649E+002    -0.24898992E+001     0.26967530E-001
     0.24608939E+001     0.66964329E+002    -0.24432402E+001     0.20097340E-001
     0.24684893E+001     0.67171009E+002    -0.24045697E+001     0.16109291E-001
     0.24760846E+001     0.67377689E+002    -0.23709963E+001     0.13483747E-001
     0.24836800E+001     0.67584369E+002    -0.23410034E+001     0.11561396E-001
     0.24912753E+001     0.67791049E+002    -0.23137345E+001     0.10045775E-001
     0.24988707E+001     0.67997729E+002    -0.22887303E+001     0.87619315E-002
     0.25064660E+001     0.68204409E+002    -0.22657059E+001     0.75771080E-002
     0.25140614E+001     0.68411089E+002    -0.22445391E+001     0.64274728E-002
     0.25216567E+001     0.68617769E+002    -0.22252736E+001     0.52204457E-002
     0.25292521E+001     0.68824449E+002    -0.22081073E+001     0.38135694E-002
     0.25368474E+001     0.69031129E+002    -0.21934907E+001     0.19771787E-002
     0.25444428E+001     0.69237809E+002    -0.21824006E+001    -0.81103370E-003
     0.25520381E+001     0.69444489E+002    -0.21769455E+001    -0.61132147E-002
     0.25596335E+001     0.69651169E+002    -0.21821639E+001    -0.20323892E-001
     0.25672288E+001     0.69857849E+002    -0.21956594E+001    -0.85456421E-001
     0.25748242E+001     0.70064529E+002    -0.20479789E+001    -0.10761848E+000
     0.25824195E+001     0.70271209E+002    -0.20665027E+001    -0.37905481E-001
     0.25900149E+001     0.70477889E+002    -0.21055392E+001    -0.38967369E-001
     0.25976102E+001     0.70684569E+002    -0.21702530E+001    -0.82304242E-001
     0.26052056E+001     0.70891249E+002    -0.22766204E+001    -0.31000051E+000
     0.26128009E+001     0.71097929E+002    -0.16523165E+001    -0.55349839E+000
     0.26203963E+001     0.71304609E+002    -0.16316603E+001    -0.13135552E+000
     0.26279916E+001     0.71511289E+002    -0.17059815E+001    -0.46347183E-001
     0.26355870E+001     0.71717969E+002    -0.17333415E+001    -0.19301245E-001
     0.26431823E+001     0.71924649E+002    -0.17354633E+001    -0.34756234E-002
     0.26507777E+001     0.72131329E+002    -0.17158391E+001     0.19168095E-001
     0.26583730E+001     0.72338009E+002    -0.16768897E+001     0.10859167E+000
     0.26659684E+001     0.72544689E+002    -0.19023712E+001     0.18377599E+000
     0.26735637E+001     0.72751369E+002    -0.18973635E+001     0.38560975E-001
     0.26811591E+001     0.72958049E+002    -0.18665251E+001     0.89603199E-002
     0.26887545E+001     0.73164729E+002    -0.18540636E+001    -0.18133190E-002
     0.26963498E+001     0.73371409E+002    -0.18539390E+001    -0.98031730E-002
     0.27039452E+001     0.73578089E+002    -0.18672623E+001    -0.20641271E-001
     0.27115405E+001     0.73784770E+002    -0.19027494E+001    -0.42909765E-001
     0.27191359E+001     0.73991450E+002    -0.19852964E+001    -0.10903917E+000
     0.27267312E+001     0.74198130E+002    -0.21251664E+001    -0.43103590E+000
     0.27343266E+001     0.74404810E+002    -0.12408337E+001    -0.72458908E+000
     0.27419219E+001     0.74611490E+002    -0.12316323E+001    -0.14541537E+000
     0.27495173E+001     0.74818170E+002    -0.12917414E+001     0.33977507E-001
     0.27571126E+001     0.75024850E+002    -0.15462577E+001     0.27262746E+000
