#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.62313024E+001    -0.52746325E-004     0.62994813E-007     0.65819918E-009    -0.54474568E-008    -0.80428855E-008     0.65731422E-008
    -0.62237032E+001    -0.52810342E-004     0.62892266E-007     0.35138658E-009    -0.29338835E-008    -0.64322229E-008    -0.40206516E-008
    -0.62161041E+001    -0.52874689E-004     0.62805469E-007     0.95066084E-009    -0.28334332E-008    -0.80319013E-009    -0.32608642E-008
    -0.62085049E+001    -0.52940157E-004     0.63001038E-007     0.14572460E-008    -0.29673249E-008    -0.32133902E-008    -0.47816497E-008
    -0.62009058E+001    -0.53006912E-004     0.62859279E-007     0.13643491E-008    -0.79108521E-009     0.79556611E-009    -0.78081017E-009
    -0.61933066E+001    -0.53074403E-004     0.62574268E-007     0.20938995E-009    -0.17073739E-010    -0.10526567E-007    -0.65455411E-008
    -0.61857075E+001    -0.53142889E-004     0.62479248E-007    -0.27183288E-008    -0.17597885E-008     0.37384488E-009    -0.90777301E-008
    -0.61781083E+001    -0.53213098E-004     0.62237303E-007     0.20551153E-009    -0.43648056E-008     0.75956232E-008    -0.61261129E-008
    -0.61705092E+001    -0.53284207E-004     0.61610769E-007     0.91181132E-009    -0.30798862E-008     0.62032349E-009    -0.21604273E-008
    -0.61629100E+001    -0.53356954E-004     0.61277981E-007     0.42721345E-009    -0.15794788E-008     0.26386272E-008    -0.43385824E-008
    -0.61553109E+001    -0.53431749E-004     0.60548923E-007     0.55158787E-009    -0.30274972E-008     0.30692905E-008    -0.58552709E-008
    -0.61477117E+001    -0.53508211E-004     0.59404689E-007     0.16312176E-008    -0.14971347E-008     0.35217175E-008    -0.12803239E-008
    -0.61401126E+001    -0.53586966E-004     0.58119144E-007    -0.50162327E-009    -0.55298435E-008     0.35750924E-008    -0.45963004E-008
    -0.61325134E+001    -0.53668842E-004     0.56480672E-007     0.40951125E-008    -0.17181913E-008     0.12726637E-008    -0.57657371E-008
    -0.61249143E+001    -0.53753865E-004     0.53853143E-007     0.24751119E-008    -0.29498578E-009     0.71961602E-008    -0.36393967E-008
    -0.61173151E+001    -0.53843369E-004     0.50959473E-007     0.18725245E-008    -0.93405589E-009     0.10906219E-007    -0.75565510E-008
